[MODEL]
(8, 88, 0):  (-0.15447000000000272, 0.003519999999996773, -0.009490000000001688)
(88, 88, 0):  (0.012359999999997474, 0.056880000000000305, -0.009490000000001688)
(48, 48, 0):  (-0.06690000000000325, -0.029200000000002297, -0.009490000000001688)
(8, 8, 0):  (-0.12194000000000285, -0.08378999999999912, -0.009490000000001688)
(88, 8, 0):  (-0.04630000000000295, -0.07392999999999911, -0.009490000000001688)
(16, 8, 0):  (-0.09066999999999936, -0.055390000000000314, -0.013220000000001165)
(8, 16, 0):  (-0.11811000000000008, -0.08278999999999925, -0.06252000000000138)
(8, 40, 0):  (-0.09181000000000009, -0.002010000000002776, -0.07423000000000286)
(24, 24, 0):  (-0.08234999999999922, -0.06489999999999937, -0.005920000000001835)
(40, 8, 0):  (-0.10189000000000163, -0.06762000000000024, -0.010930000000001883)
